Date,Primary,Industry,Employment,name
1985 Q2,A.AFF,"04 Fishing, Hunting and Trapping",7.4,Agriculture
1985 Q2,A.AFF,"05 Agriculture, Forestry and Fishing Support Services",14,Agriculture
1985 Q2,B.MINING,06 Coal Mining,33.4,Mining
1985 Q2,B.MINING,07 Oil and Gas Extraction,2.6,Mining
1985 Q2,B.MINING,08 Metal Ore Mining,35.4,Mining
1985 Q2,B.MINING,09 Non-Metallic Mineral Mining and Quarrying,11.2,Mining
1985 Q2,B.MINING,10 Exploration and Other Mining Support Services,10.4,Mining
1985 Q2,C.MANU,11Food Product Manufacturing,156.1,Manufacturing
1985 Q2,C.MANU,12Beverage and Tobacco Product Manufacturing,24.4,Manufacturing
1985 Q2,C.MANU,"13Textile, Leather, Clothing and Footwear Manufacturing",116.9,Manufacturing
1985 Q2,C.MANU,14Wood Product Manufacturing,49.6,Manufacturing
1985 Q2,C.MANU,"15Pulp, Paper and Converted Paper Product Manufacturing",31.2,Manufacturing
1985 Q2,C.MANU,16Printing (including the Reproduction of Recorded Media),48.2,Manufacturing
1985 Q2,C.MANU,17Petroleum and Coal Product Manufacturing,8.2,Manufacturing
1985 Q2,C.MANU,18 Basic Chemical and Chemical Product Manufacturing,40.8,Manufacturing
1985 Q2,C.MANU,19Polymer Product and Rubber Product Manufacturing,48.3,Manufacturing
1985 Q2,C.MANU,20Non-Metallic Mineral Product Manufacturing,47.1,Manufacturing
1985 Q2,C.MANU,21Primary Metal and Metal Product Manufacturing,89.9,Manufacturing
1985 Q2,C.MANU,22Fabricated Metal Product Manufacturing,109.3,Manufacturing
1985 Q2,C.MANU,23Transport Equipment Manufacturing,120.5,Manufacturing
1985 Q2,C.MANU,24Machinery and Equipment Manufacturing,127.7,Manufacturing
1985 Q2,C.MANU,25Furniture and Other Manufacturing,61.8,Manufacturing
1985 Q2,D.EGWWS,26Electricity Supply,80.9,"Electricity,Gas"
1985 Q2,D.EGWWS,27Gas Supply,10.3,"Electricity,Gas"
1985 Q2,D.EGWWS,"28Water Supply, Sewerage and Drainage Services",42.4,"Electricity,Gas"
1985 Q2,D.EGWWS,"29Waste Collection, Treatment and Disposal Services",9.5,"Electricity,Gas"
1985 Q2,E.Const,30 Building Construction,142.3,Construction
1985 Q2,E.Const,31 Heavy and Civil Engineering Construction,61.7,Construction
1985 Q2,E.Const,32 Construction Services,288,Construction
1985 Q2,F.Wholesale,"
33 Basic Material Wholesaling",112.9,Wholesale
1985 Q2,F.Wholesale,34 Machinery and Equipment Wholesaling,85.3,Wholesale
1985 Q2,F.Wholesale,35 Motor Vehicle and Motor Vehicle Parts Wholesaling,22.2,Wholesale
1985 Q2,F.Wholesale,"36 Grocery, Liquor and Tobacco Product Wholesaling",52.9,Wholesale
1985 Q2,F.Wholesale,37 Other Goods Wholesaling,70.2,Wholesale
1985 Q2,F.Wholesale,38 Commission-Based Wholesaling,3.7,Wholesale
1985 Q2,G.MVMVPR,39Motor Vehicle and Motor Vehicle Parts Retailing,8.1,Retail Trade
1985 Q2,G.MVMVPR,40 Fuel Retailing,33,Retail Trade
1985 Q2,G.MVMVPR,41 Food Retailing,193.2,Retail Trade
1985 Q2,G.MVMVPR,42 Other Store-Based Retailing,413.8,Retail Trade
1985 Q2,G.MVMVPR,43 Non-Store Retailing and Retail Commission Based Buying and/or Selling,1,Retail Trade
1985 Q2,H.AFS,44 Accommodation,58.9,Accommodation&Food
1985 Q2,H.AFS,45 Food and Beverage Services,269.6,Accommodation&Food
1985 Q2,I.TPW,46 Road Transport,147.2,Transport
1985 Q2,I.TPW,47 Rail Transport,73.6,Transport
1985 Q2,I.TPW,48 Water Transport,9.2,Transport
1985 Q2,I.TPW,49 Air and Space Transport,29.6,Transport
1985 Q2,I.TPW,50 Other Transport,15,Transport
1985 Q2,I.TPW,51 Postal and Courier Pick-up and Delivery Services,72,Transport
1985 Q2,I.TPW,52 Transport Support Services,48.4,Transport
1985 Q2,I.TPW,53 Warehousing and Storage Services,9.2,Transport
1985 Q2,J.IMT,54 Publishing (except Internet and Music Publishing),40.1,Media&telecom
1985 Q2,J.IMT,55 Motion Picture and Sound Recording Activities,17.7,Media&telecom
1985 Q2,J.IMT,56 Broadcasting (except Internet),13.9,Media&telecom
1985 Q2,J.IMT,57 Internet Publishing and Broadcasting,0,Media&telecom
1985 Q2,J.IMT,58 Telecommunications Services,78.1,Media&telecom
1985 Q2,J.IMT,"59 Internet Service Providers, Web Search Portals and Data Processing Services",7.5,Media&telecom
1985 Q2,J.IMT,60 Library and Other Information Services,7.2,Media&telecom
1985 Q2,K.FIS,62 Finance,184.6,Financial
1985 Q2,K.FIS,63 Insurance and Superannuation Funds,59.9,Financial
1985 Q2,K.FIS,64 Auxiliary Finance and Insurance Services,34.3,Financial
1985 Q2,L.RHRES,66 Rental and Hiring Services (except Real Estate),21.7,Retal&Realestate
1985 Q2,L.RHRES,67 Property Operators and Real Estate Services,68.7,Retal&Realestate
1985 Q2,M.PSTS,"69 Professional, Scientific and Technical Services (Except Computer System)
Design and Related Services)",258.2,Professional&Scientific
1985 Q2,M.PSTS,70 Computer System Design and Related Services,14.4,Professional&Scientific
1985 Q2,N.ASS,72 Administrative Services,65.2,Administrative
1985 Q2,N.ASS,"73 Building Cleaning, Pest Control and Other Support Services",61,Administrative
1985 Q2,O.PAS,75 Public Administration,291.7,Public
1985 Q2,O.PAS,76 Defence,22.9,Public
1985 Q2,O.PAS,"77 Public Order, Safety and Regulatory Services",75.2,Public
1985 Q2,P.EDUTRA,80 Preschool and School Education,319.1,Education
1985 Q2,P.EDUTRA,81 Tertiary Education,110,Education
1985 Q2,P.EDUTRA,"82 Adult, Community and Other Education",27.7,Education
1985 Q2,Q.HCSA,84 Hospitals,218.7,Healthcare
1985 Q2,Q.HCSA,85 Medical and Other Health Care Services,125.9,Healthcare
1985 Q2,Q.HCSA,86 Residential Care Services,107.6,Healthcare
1985 Q2,Q.HCSA,87 Social Assistance Services,75.9,Healthcare
1985 Q2,R.ARS,89 Heritage Activities,74.4,Arts
1985 Q2,R.ARS,90 Creative and Performing Arts Activities,8.4,Arts
1985 Q2,R.ARS,91 Sports and Recreation Activities,37.2,Arts
1985 Q2,R.ARS,92 Gambling Activities,19.1,Arts
1985 Q2,S.Other,94 Repair and Maintenance,164.8,Other
1985 Q2,S.Other,95 Personal and Other Services,107.1,Other
1985 Q2,S.Other,96 Private Households Employing Staff and Undifferentiated Goods- and Service- Producing Activities of Households for Own Use,14.6,Other
1985 Q3,A.AFF,01 Agriculture,373.9,Agriculture
1985 Q3,A.AFF,02 Aquaculture,2.9,Agriculture
1985 Q3,A.AFF,03 Forestry and Logging,7.7,Agriculture
1985 Q3,A.AFF,"04 Fishing, Hunting and Trapping",6.5,Agriculture
1985 Q3,A.AFF,"05 Agriculture, Forestry and Fishing Support Services",22.7,Agriculture
1985 Q3,B.MINING,06 Coal Mining,37.2,Mining
1985 Q3,B.MINING,07 Oil and Gas Extraction,2.3,Mining
1985 Q3,B.MINING,08 Metal Ore Mining,37.1,Mining
1985 Q3,B.MINING,09 Non-Metallic Mineral Mining and Quarrying,13.1,Mining
1985 Q3,B.MINING,10 Exploration and Other Mining Support Services,12,Mining
1985 Q3,C.MANU,11Food Product Manufacturing,158.4,Manufacturing
1985 Q3,C.MANU,12Beverage and Tobacco Product Manufacturing,21.1,Manufacturing
1985 Q3,C.MANU,"13Textile, Leather, Clothing and Footwear Manufacturing",120.2,Manufacturing
1985 Q3,C.MANU,14Wood Product Manufacturing,46.7,Manufacturing
1985 Q3,C.MANU,"15Pulp, Paper and Converted Paper Product Manufacturing",31.7,Manufacturing
1985 Q3,C.MANU,16Printing (including the Reproduction of Recorded Media),45.7,Manufacturing
1985 Q3,C.MANU,17Petroleum and Coal Product Manufacturing,6.7,Manufacturing
1985 Q3,C.MANU,18 Basic Chemical and Chemical Product Manufacturing,43.4,Manufacturing
1985 Q3,C.MANU,19Polymer Product and Rubber Product Manufacturing,56.8,Manufacturing
1985 Q3,C.MANU,20Non-Metallic Mineral Product Manufacturing,44.8,Manufacturing
1985 Q3,C.MANU,21Primary Metal and Metal Product Manufacturing,79.7,Manufacturing
1985 Q3,C.MANU,22Fabricated Metal Product Manufacturing,103.3,Manufacturing
1985 Q3,C.MANU,23Transport Equipment Manufacturing,113.6,Manufacturing
1985 Q3,C.MANU,24Machinery and Equipment Manufacturing,123.3,Manufacturing
1985 Q3,C.MANU,25Furniture and Other Manufacturing,61.3,Manufacturing
1985 Q3,D.EGWWS,26Electricity Supply,81.4,"Electricity,Gas"
1985 Q3,D.EGWWS,27Gas Supply,10.5,"Electricity,Gas"
1985 Q3,D.EGWWS,"28Water Supply, Sewerage and Drainage Services",46.8,"Electricity,Gas"
1985 Q3,D.EGWWS,"29Waste Collection, Treatment and Disposal Services",9.3,"Electricity,Gas"
1985 Q3,E.Const,30 Building Construction,140.6,Construction
1985 Q3,E.Const,31 Heavy and Civil Engineering Construction,53.3,Construction
1985 Q3,E.Const,32 Construction Services,282.7,Construction
1985 Q3,F.Wholesale,"
33 Basic Material Wholesaling",115.6,Wholesale
1985 Q3,F.Wholesale,34 Machinery and Equipment Wholesaling,85.3,Wholesale
1985 Q3,F.Wholesale,35 Motor Vehicle and Motor Vehicle Parts Wholesaling,22.2,Wholesale
1985 Q3,F.Wholesale,"36 Grocery, Liquor and Tobacco Product Wholesaling",54.2,Wholesale
1985 Q3,F.Wholesale,37 Other Goods Wholesaling,74.4,Wholesale
1985 Q3,F.Wholesale,38 Commission-Based Wholesaling,4,Wholesale
1985 Q3,G.MVMVPR,39Motor Vehicle and Motor Vehicle Parts Retailing,8.6,Retail Trade
1985 Q3,G.MVMVPR,40 Fuel Retailing,33.1,Retail Trade
1985 Q3,G.MVMVPR,41 Food Retailing,196.7,Retail Trade
1985 Q3,G.MVMVPR,42 Other Store-Based Retailing,400.5,Retail Trade
1985 Q3,G.MVMVPR,43 Non-Store Retailing and Retail Commission Based Buying and/or Selling,1.1,Retail Trade
1985 Q3,H.AFS,44 Accommodation,55.8,Accommodation&Food
1985 Q3,H.AFS,45 Food and Beverage Services,263.8,Accommodation&Food
1985 Q3,I.TPW,46 Road Transport,159.1,Transport
1985 Q3,I.TPW,47 Rail Transport,74.1,Transport
1985 Q3,I.TPW,48 Water Transport,5.6,Transport
1985 Q3,I.TPW,49 Air and Space Transport,33.1,Transport
1985 Q3,I.TPW,50 Other Transport,14,Transport
1985 Q3,I.TPW,51 Postal and Courier Pick-up and Delivery Services,73.4,Transport
1985 Q3,I.TPW,52 Transport Support Services,49.4,Transport
1985 Q3,I.TPW,53 Warehousing and Storage Services,8.6,Transport
1985 Q3,J.IMT,54 Publishing (except Internet and Music Publishing),38,Media&telecom
1985 Q3,J.IMT,55 Motion Picture and Sound Recording Activities,18.8,Media&telecom
1985 Q3,J.IMT,56 Broadcasting (except Internet),14.8,Media&telecom
1985 Q3,J.IMT,57 Internet Publishing and Broadcasting,0,Media&telecom
1985 Q3,J.IMT,58 Telecommunications Services,79,Media&telecom
1985 Q3,J.IMT,"59 Internet Service Providers, Web Search Portals and Data Processing Services",7.6,Media&telecom
1985 Q3,J.IMT,60 Library and Other Information Services,7.6,Media&telecom
1985 Q3,K.FIS,62 Finance,187.7,Financial
1985 Q3,K.FIS,63 Insurance and Superannuation Funds,64.3,Financial
1985 Q3,K.FIS,64 Auxiliary Finance and Insurance Services,30.9,Financial
1985 Q3,L.RHRES,66 Rental and Hiring Services (except Real Estate),24.8,Retal&Realestate
1985 Q3,L.RHRES,67 Property Operators and Real Estate Services,69.4,Retal&Realestate
1985 Q3,M.PSTS,"69 Professional, Scientific and Technical Services (Except Computer System)
Design and Related Services)",258.6,Professional&Scientific
1985 Q3,M.PSTS,70 Computer System Design and Related Services,14.9,Professional&Scientific
1985 Q3,N.ASS,72 Administrative Services,62.6,Administrative
1985 Q3,N.ASS,"73 Building Cleaning, Pest Control and Other Support Services",62.5,Administrative
1985 Q3,O.PAS,75 Public Administration,290.4,Public
1985 Q3,O.PAS,76 Defence,24.1,Public
1985 Q3,O.PAS,"77 Public Order, Safety and Regulatory Services",74.5,Public
1985 Q3,P.EDUTRA,80 Preschool and School Education,335.7,Education
1985 Q3,P.EDUTRA,81 Tertiary Education,103.5,Education
1985 Q3,P.EDUTRA,"82 Adult, Community and Other Education",26.1,Education
1985 Q3,Q.HCSA,84 Hospitals,223.3,Healthcare
1985 Q3,Q.HCSA,85 Medical and Other Health Care Services,131.7,Healthcare
1985 Q3,Q.HCSA,86 Residential Care Services,108.9,Healthcare
1985 Q3,Q.HCSA,87 Social Assistance Services,72.5,Healthcare
1985 Q3,R.ARS,89 Heritage Activities,72.9,Arts
1985 Q3,R.ARS,90 Creative and Performing Arts Activities,8.9,Arts
1985 Q3,R.ARS,91 Sports and Recreation Activities,36.4,Arts
1985 Q3,R.ARS,92 Gambling Activities,17.9,Arts
1985 Q3,S.Other,94 Repair and Maintenance,163.7,Other
1985 Q3,S.Other,95 Personal and Other Services,109.6,Other
1985 Q3,S.Other,96 Private Households Employing Staff and Undifferentiated Goods- and Service- Producing Activities of Households for Own Use,9.9,Other
1985 Q4,A.AFF,01 Agriculture,391.9,Agriculture
1985 Q4,A.AFF,02 Aquaculture,3.8,Agriculture
1985 Q4,A.AFF,03 Forestry and Logging,9.4,Agriculture
1985 Q4,A.AFF,"04 Fishing, Hunting and Trapping",8.4,Agriculture
1985 Q4,A.AFF,"05 Agriculture, Forestry and Fishing Support Services",20.1,Agriculture
1985 Q4,B.MINING,06 Coal Mining,37.3,Mining
1985 Q4,B.MINING,07 Oil and Gas Extraction,2.3,Mining
1985 Q4,B.MINING,08 Metal Ore Mining,41.9,Mining
1985 Q4,B.MINING,09 Non-Metallic Mineral Mining and Quarrying,13.2,Mining
1985 Q4,B.MINING,10 Exploration and Other Mining Support Services,14,Mining
1985 Q4,C.MANU,11Food Product Manufacturing,161.6,Manufacturing
1985 Q4,C.MANU,12Beverage and Tobacco Product Manufacturing,20,Manufacturing
1985 Q4,C.MANU,"13Textile, Leather, Clothing and Footwear Manufacturing",118.1,Manufacturing
1985 Q4,C.MANU,14Wood Product Manufacturing,45.1,Manufacturing
